instrument_name,expiration,strike,option_type,last_price,mark_price,underlying_price,bid,ask,iv,volume,open_interest,underlying_index,quotes_quantity,time_to_expiry,is_call
ETH-12MAY25-2225-P,2025-05-12,2225.0,put,0.0008,0.0007,2475.7709,0.0006,0.0009,1.4047,336.0,1072.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2250-C,2025-05-12,2250.0,call,,0.092,2475.7709,0.0585,0.1295,1.3196,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2250-P,2025-05-12,2250.0,put,0.0009,0.0008,2475.7709,0.0007,0.0011,1.3196,208.0,1195.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2275-C,2025-05-12,2275.0,call,,0.082,2475.7709,0.048,0.12,1.2248999999999999,0.0,0.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2275-P,2025-05-12,2275.0,put,0.0009,0.0009,2475.7709,0.0008,0.0012,1.2248999999999999,322.0,612.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2300-C,2025-05-12,2300.0,call,0.0785,0.0722,2475.7922,0.0685,0.075,1.1433,4.0,383.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2300-P,2025-05-12,2300.0,put,0.0015,0.0012,2475.7922,0.0011,0.0014,1.1433,1019.0,12839.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2325-C,2025-05-12,2325.0,call,0.071,0.0623,2475.7922,0.059,0.065,1.061,44.0,865.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2325-P,2025-05-12,2325.0,put,0.0018,0.0014,2475.7922,0.0013,0.0017,1.061,711.0,670.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2350-C,2025-05-12,2350.0,call,0.0715,0.0528,2475.7922,0.0495,0.0565,0.9948,2.0,12342.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2350-P,2025-05-12,2350.0,put,0.0022,0.0019,2475.7622,0.0018,0.0022,0.9948999999999999,340.0,897.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2375-C,2025-05-12,2375.0,call,0.076,0.0434,2475.7622,0.039,0.047,0.9333,7.0,634.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2375-P,2025-05-12,2375.0,put,0.0033,0.0027,2475.7622,0.0025,0.003,0.9333,467.0,439.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2400-C,2025-05-12,2400.0,call,0.063,0.0347,2475.7622,0.032,0.038,0.8945000000000001,49.0,335.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2400-P,2025-05-12,2400.0,put,0.007,0.0041,2475.7622,0.0038,0.0043,0.8945000000000001,1881.0,1594.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2425-C,2025-05-12,2425.0,call,0.052,0.0265,2475.7522,0.025,0.0275,0.8551000000000001,48.0,809.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
ETH-12MAY25-2425-P,2025-05-12,2425.0,put,0.0065,0.006,2475.7522,0.0055,0.0065,0.8551000000000001,470.0,1032.0,SYN.ETH-12MAY25,,0.0027397260273972603,False
ETH-12MAY25-2450-C,2025-05-12,2450.0,call,0.0175,0.0196,2475.7522,0.019,0.0205,0.8432,163.0,1425.0,SYN.ETH-12MAY25,,0.0027397260273972603,True
